City_ID,City,Country,Max Temp,Description,Lat,Lng,Current Description,Hotel Name
60,Jamestown,US,78.53,clear sky,42.097,-79.2353,clear sky,Hampton Inn & Suites Jamestown
66,Norsup,VU,80.46,overcast clouds,-16.0667,167.3833,overcast clouds,Nabelchel Bungalows
67,Venice,US,86.14,few clouds,27.0998,-82.4543,few clouds,A Beach Retreat On Casey Key
69,Faanui,PF,80.13,broken clouds,-16.4833,-151.75,broken clouds,Bora-Bora Pearl Beach Resort & Spa
70,Avarua,CK,76.98,overcast clouds,-21.2078,-159.775,overcast clouds,Paradise Inn
72,Dingle,PH,77.63,overcast clouds,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
76,Shelburne,CA,70.72,scattered clouds,44.0787,-80.2041,scattered clouds,The Retreat at the Farm
82,Guanica,PR,85.5,few clouds,17.9716,-66.908,few clouds,Copamarina Beach Resort & Spa
83,Lompoc,US,71.62,broken clouds,34.6391,-120.4579,broken clouds,"Holiday Inn Express Lompoc, an IHG Hotel"
88,Ixtapa,MX,91.31,broken clouds,20.7,-105.2,broken clouds,hotel la terminal
92,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,scattered clouds,Cititel Penang
94,Puerto Ayora,EC,74.55,broken clouds,-0.7393,-90.3518,broken clouds,Finch Bay Galapagos Hotel
95,Urucara,BR,76.62,moderate rain,-2.5364,-57.76,moderate rain,Pousada Maria Bonita
99,Pathein,MM,79.99,scattered clouds,16.7833,94.7333,scattered clouds,Pathein Hotel
106,Touba,CI,73.78,broken clouds,8.2833,-7.6833,broken clouds,Hotel de L'Amitié Vraie
116,Martapura,ID,75.29,scattered clouds,-3.4167,114.85,scattered clouds,Montana Hotel Syariah
117,Paratinga,BR,79.48,light rain,-12.6906,-43.1842,light rain,Pousada Magalhães 2
121,El Salto,MX,80.64,broken clouds,20.3333,-104.5,broken clouds,ramirez
126,Maumere,ID,79.03,clear sky,-8.6199,122.2111,clear sky,Sylvia Hotel
129,Pochutla,MX,88.83,overcast clouds,15.7432,-96.4661,overcast clouds,Hotel Posada San Jose
131,Alofi,NU,77.74,overcast clouds,-19.0595,-169.9187,overcast clouds,Taloa Heights
133,Ramnagar,IN,81.81,few clouds,29.4,79.1167,few clouds,Leisure Vacation Myrica Hotel
135,Sao Filipe,CV,76.24,few clouds,14.8961,-24.4956,few clouds,Hotel Xaguate
137,Boyolangu,ID,75.9,scattered clouds,-8.1181,111.8935,scattered clouds,Yos ega cv
138,Omboue,GA,78.21,overcast clouds,-1.5746,9.2618,overcast clouds,Hotel Olako
139,Galle,LK,80.29,broken clouds,6.0367,80.217,broken clouds,Amangalla
144,Havelock,US,78.94,overcast clouds,34.8791,-76.9013,overcast clouds,Sherwood Motel
145,Bilma,NE,82.72,clear sky,18.6853,12.9164,clear sky,Expeditions Ténére voyages
149,Souillac,MU,75.58,light rain,-20.5167,57.5167,light rain,Shanti Maurice Resort & Spa
154,Kahului,US,81.84,few clouds,20.8947,-156.47,few clouds,Maui Seaside Hotel
158,Arraial Do Cabo,BR,75.22,overcast clouds,-22.9661,-42.0278,overcast clouds,Pousada Porto Praia
162,The Valley,AI,80.1,overcast clouds,18.217,-63.0578,overcast clouds,CeBlue Villas & Beach Resort
165,Waingapu,ID,75.87,few clouds,-9.6567,120.2641,few clouds,Pondok Wisata Elim
166,Sibolga,ID,76.62,overcast clouds,1.7427,98.7792,overcast clouds,Hotel Syariah CN Darussalam
167,Caravelas,BR,75.29,overcast clouds,-17.7125,-39.2481,overcast clouds,Pousada dos Navegantes
169,Bethel,US,79.65,clear sky,41.3712,-73.414,clear sky,Courtyard by Marriott Danbury
171,Amahai,ID,78.98,broken clouds,-3.3333,128.9167,broken clouds,HOTEL ISABELA
172,Clarksdale,US,87.78,clear sky,34.2001,-90.5709,clear sky,Americas Best Value Inn & Suites Clarksdale
174,Coyaima,CO,87.17,broken clouds,3.7994,-75.1947,broken clouds,El Mirador del Triángulo
177,Salalah,OM,79.32,clear sky,17.0151,54.0924,clear sky,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
178,Najran,SA,70.23,few clouds,17.4924,44.1277,few clouds,محمد هادي ال فطيح
181,Cozumel,MX,86.95,few clouds,20.5083,-86.9458,few clouds,Cozumel Palace® All Inclusive Resort
185,Entebbe,UG,71.92,few clouds,0.0644,32.4469,few clouds,WB APARTMENT
