City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
261,Saint Paul,US,44.9444,-93.0933,74.75,38,40,14.97,scattered clouds
262,San Patricio,US,28.017,-97.5169,94.17,50,0,17.16,clear sky
263,Birao,CF,10.2849,22.7882,80.29,57,100,2.28,overcast clouds
264,Kitui,KE,-1.367,38.0106,60.6,95,27,5.41,scattered clouds
265,Geraldton,AU,-28.7667,114.6,55.81,76,0,13.8,clear sky
266,Khani,GE,41.9563,42.9566,47.77,95,100,2.15,overcast clouds
267,Coyah,GN,9.75,-13.4167,81.45,84,65,3.96,broken clouds
268,Abha,SA,18.2164,42.5053,62.85,8,0,6.91,clear sky
269,Port Macquarie,AU,-31.4333,152.9167,68.9,88,87,6.76,overcast clouds
270,Temirtau,KZ,50.0544,72.9483,55.26,49,82,5.88,broken clouds
271,Teahupoo,PF,-17.8333,-149.2667,78.76,76,83,15.08,light rain
272,Teguldet,RU,57.3064,88.1667,58.24,85,100,6.53,overcast clouds
273,Clinton,US,42.587,-82.9199,82.96,60,75,5.75,broken clouds
274,Itarema,BR,-2.9248,-39.9167,78.3,88,90,10.22,overcast clouds
275,Ostrovnoy,RU,68.0531,39.5131,34.27,88,87,6.06,overcast clouds
276,Kualakapuas,ID,-3.0091,114.3876,73.4,99,48,1.54,scattered clouds
277,Ormara,PK,25.2088,64.6357,82.89,77,0,14.25,clear sky
278,Maniitsoq,GL,65.4167,-52.9,33.8,64,1,10.51,clear sky
279,Boca Do Acre,BR,-8.7522,-67.3978,77.16,96,100,1.23,heavy intensity rain
280,Chuari Khas,IN,32.4333,76.0167,80.71,14,98,8.14,overcast clouds
281,Lensk,RU,60.7253,114.9278,43.93,94,100,6.44,overcast clouds
282,Sobolevo,RU,54.4299,31.8996,41.04,87,15,10.04,few clouds
283,Anito,PH,12.4497,125.2886,77.65,91,96,5.28,overcast clouds
284,Sokoni,TZ,-6.4333,39.55,80.38,75,0,16.51,clear sky
285,San Policarpo,PH,12.1791,125.5072,80.82,82,88,7.49,overcast clouds
286,Hobyo,SO,5.3505,48.5268,80.06,83,40,21.43,scattered clouds
287,Changying,CN,52.8733,123.3213,38.35,50,84,4.36,broken clouds
288,Udachnyy,RU,66.4167,112.4,35.58,90,100,3.27,overcast clouds
289,Bereda,ES,43.2686,-7.5406,59.41,66,98,6.69,overcast clouds
290,Acarau,BR,-2.8856,-40.12,78.76,87,86,11.03,overcast clouds
291,Ibra,OM,22.6906,58.5334,76.06,39,0,3.83,clear sky
292,Ingham,US,42.6,-84.3833,78.98,45,40,16.11,scattered clouds
293,Turukhansk,RU,65.8167,87.9833,55.87,61,91,10.07,overcast clouds
294,Denpasar,ID,-8.65,115.2167,78.46,88,20,3.44,few clouds
295,Urumqi,CN,43.801,87.6005,63.55,52,75,11.18,light rain
296,Axim,GH,4.8699,-2.2405,80.38,85,34,7.07,scattered clouds
297,Namibe,AO,-15.1961,12.1522,71.85,62,1,6.26,clear sky
298,Ahipara,NZ,-35.1667,173.1667,67.19,83,70,12.73,broken clouds
299,Ukiah,US,39.1502,-123.2078,80.44,51,0,10.36,clear sky
300,Kaman,IN,27.65,77.2667,98.28,12,82,17.65,broken clouds
301,Lipin Bor,RU,60.2622,37.9763,43.41,92,100,8.23,overcast clouds
302,Tumpat,MY,6.1978,102.171,78.49,89,94,4.61,overcast clouds
303,Rabkavi,IN,16.4667,75.1,77.54,74,98,13.29,overcast clouds
304,Matay,EG,28.419,30.7792,73.4,39,67,16.62,broken clouds
305,Kaeo,NZ,-35.1,173.7833,66.33,90,93,10.36,overcast clouds
306,Galesong,ID,-5.3166,119.3661,75.22,85,71,6.51,broken clouds
307,Fort Nelson,CA,58.8053,-122.7002,60.67,34,38,5.77,scattered clouds
308,Dikson,RU,73.5069,80.5464,32.86,94,100,11.05,overcast clouds
309,Doka,SD,13.5167,35.7667,83.91,53,19,13.69,few clouds
310,Nioro,GM,13.35,-15.75,86.18,38,4,10.47,clear sky
311,Coahuayana,MX,18.7333,-103.6833,89.94,34,36,7.85,scattered clouds
312,Uyuni,BO,-20.4597,-66.825,46.83,27,3,15.32,clear sky
313,Karratha,AU,-20.7377,116.8463,73.29,48,2,10.69,clear sky
314,Narsaq,GL,60.9167,-46.05,43.02,68,28,3.87,scattered clouds
315,Portland,US,45.5234,-122.6762,65.91,88,100,5.01,overcast clouds
316,Nova Londrina,BR,-22.7658,-52.985,64.76,91,100,7.0,overcast clouds
317,Sargatskoye,RU,55.6101,73.4972,58.33,53,99,8.81,overcast clouds
318,Mopipi,BW,-21.1833,24.8833,68.74,47,3,17.69,clear sky
319,Gamba,GA,-2.65,10.0,77.47,93,97,5.59,overcast clouds
320,Mchinji,MW,-13.7984,32.8802,57.69,71,37,3.53,scattered clouds
321,Borovichi,RU,58.3878,33.9155,38.86,91,62,5.79,broken clouds
322,Lengshuijiang,CN,27.6881,111.4294,52.38,93,100,2.06,overcast clouds
323,Cauquenes,CL,-35.9671,-72.3225,58.08,42,52,3.38,broken clouds
324,Xiaoweizhai,CN,26.1903,107.5125,50.2,94,100,3.87,overcast clouds
325,Neryungri,RU,56.6709,124.6491,30.81,93,100,1.66,light snow
326,Puerto Escondido,MX,15.85,-97.0667,90.43,58,40,8.05,scattered clouds
327,Orocue,CO,4.7912,-71.3354,83.84,76,100,4.23,overcast clouds
328,Kiama,AU,-34.6833,150.8667,64.26,78,0,3.0,clear sky
329,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,100,100,13.42,light intensity shower rain
330,Buala,SB,-8.145,159.5921,82.04,76,11,2.57,few clouds
331,Kalmunai,LK,7.4167,81.8167,78.93,79,76,6.42,broken clouds
332,Uvinza,TZ,-5.1036,30.3911,70.05,79,100,1.83,overcast clouds
333,Saquarema,BR,-22.92,-42.5103,75.24,79,97,5.53,overcast clouds
334,Tieli,CN,46.95,128.05,44.08,40,25,4.79,scattered clouds
335,Mehamn,NO,71.0357,27.8492,37.35,87,75,4.61,broken clouds
336,Cockburn Town,TC,21.4612,-71.1419,79.05,80,97,18.63,overcast clouds
337,Saint-Augustin,CA,51.226,-58.6502,43.43,52,67,10.69,broken clouds
338,Christchurch,NZ,-43.5333,172.6333,55.9,95,75,2.3,heavy intensity drizzle
